country,LAU_ID,NUTS_ID_3,NUTS_ID_region
czechia,CZ589357,CZ071,CZ0
czechia,CZ589365,CZ071,CZ0
czechia,CZ589381,CZ071,CZ0
czechia,CZ589390,CZ071,CZ0
czechia,CZ589403,CZ071,CZ0
czechia,CZ589420,CZ071,CZ0
czechia,CZ589438,CZ071,CZ0
czechia,CZ589446,CZ071,CZ0
czechia,CZ589454,CZ071,CZ0
czechia,CZ589462,CZ071,CZ0
czechia,CZ589489,CZ071,CZ0
czechia,CZ589497,CZ071,CZ0
czechia,CZ589501,CZ071,CZ0
czechia,CZ589519,CZ071,CZ0
czechia,CZ589527,CZ071,CZ0
czechia,CZ589535,CZ071,CZ0
czechia,CZ589543,CZ071,CZ0
czechia,CZ589560,CZ071,CZ0
czechia,CZ589578,CZ071,CZ0
czechia,CZ589586,CZ071,CZ0
czechia,CZ589594,CZ071,CZ0
czechia,CZ589608,CZ071,CZ0
czechia,CZ589616,CZ071,CZ0
czechia,CZ589624,CZ071,CZ0
czechia,CZ589632,CZ071,CZ0
czechia,CZ589641,CZ071,CZ0
czechia,CZ589659,CZ071,CZ0
czechia,CZ589667,CZ071,CZ0
czechia,CZ589675,CZ071,CZ0
czechia,CZ589683,CZ071,CZ0
czechia,CZ589691,CZ071,CZ0
czechia,CZ589705,CZ071,CZ0
czechia,CZ589713,CZ071,CZ0
czechia,CZ589721,CZ071,CZ0
czechia,CZ589730,CZ071,CZ0
czechia,CZ589748,CZ071,CZ0
czechia,CZ589756,CZ071,CZ0
czechia,CZ589764,CZ071,CZ0
czechia,CZ589772,CZ071,CZ0
czechia,CZ589799,CZ071,CZ0
czechia,CZ589802,CZ071,CZ0
czechia,CZ589811,CZ071,CZ0
czechia,CZ589829,CZ071,CZ0
czechia,CZ589837,CZ071,CZ0
czechia,CZ589845,CZ071,CZ0
czechia,CZ589853,CZ071,CZ0
czechia,CZ589870,CZ071,CZ0
czechia,CZ589888,CZ071,CZ0
czechia,CZ589896,CZ071,CZ0
czechia,CZ589918,CZ071,CZ0
czechia,CZ589926,CZ071,CZ0
czechia,CZ589934,CZ071,CZ0
czechia,CZ589942,CZ071,CZ0
czechia,CZ589951,CZ071,CZ0
czechia,CZ589969,CZ071,CZ0
czechia,CZ589977,CZ071,CZ0
czechia,CZ589993,CZ071,CZ0
czechia,CZ590002,CZ071,CZ0
czechia,CZ590011,CZ071,CZ0
czechia,CZ590029,CZ071,CZ0
czechia,CZ590045,CZ071,CZ0
czechia,CZ590053,CZ071,CZ0
czechia,CZ590061,CZ071,CZ0
czechia,CZ590070,CZ071,CZ0
czechia,CZ590088,CZ071,CZ0
czechia,CZ590096,CZ071,CZ0
czechia,CZ590100,CZ071,CZ0
czechia,CZ590118,CZ071,CZ0
czechia,CZ590126,CZ071,CZ0
czechia,CZ590134,CZ071,CZ0
czechia,CZ590142,CZ071,CZ0
czechia,CZ590151,CZ071,CZ0
czechia,CZ590177,CZ071,CZ0
